wt test
"t";"Date";"Time";"No.";"ML";"Temp.";"PAR";"F";"Fm'";"Y(II)";"Y(NPQ)";"NPQ";"ETR";"";
       2;13.03.23;14:42:47;Type: LC 
       4;13.03.23;14:42:48;default_MC.par
       4;13.03.23;14:42:48;LightCurve_Marianne.lcp
       2;13.03.23;14:42:47;1;2; 0.0;0;Fo: 0.400;Fm: 1.274
       2;13.03.23;14:42:47;1;2; 0.0;0;0.400;1.274;0.686;0.000;0.000;  0.0;;
      32;13.03.23;14:43:17;2;2; 0.0;4;0.401;1.247;0.678;0.007;0.022;  1.1;;
      62;13.03.23;14:43:47;3;2; 0.0;7;0.405;1.244;0.674;0.008;0.024;  2.0;;
      92;13.03.23;14:44:17;4;2; 0.0;18;0.440;1.290;0.659;0.000;0.000;  5.0;;
     122;13.03.23;14:44:47;5;2; 0.0;31;0.516;1.308;0.606;0.000;0.000;  7.9;;
     152;13.03.23;14:45:17;6;2; 0.0;57;0.584;1.281;0.544;0.000;0.000; 13.0;;
     182;13.03.23;14:45:47;7;2; 0.0;123;0.702;1.197;0.414;0.035;0.064; 21.4;;
     212;13.03.23;14:46:17;8;2; 0.0;177;0.667;1.023;0.348;0.128;0.245; 25.9;;
     242;13.03.23;14:46:47;9;2; 0.0;244;0.591;0.829;0.287;0.249;0.537; 29.4;;
     272;13.03.23;14:47:17;10;2; 0.0;350;0.522;0.669;0.220;0.371;0.904; 32.3;;
     302;13.03.23;14:47:47;11;2; 0.0;469;0.469;0.567;0.173;0.459;1.247; 34.0;;
     332;13.03.23;14:48:17;12;2; 0.0;599;0.437;0.508;0.140;0.517;1.508; 35.2;;
     362;13.03.23;14:48:47;13;2; 0.0;753;0.419;0.472;0.112;0.559;1.699; 35.5;;
     392;13.03.23;14:49:17;14;2; 0.0;905;0.406;0.448;0.094;0.588;1.844; 35.6;;
     422;13.03.23;14:49:47;15;2; 0.0;1313;0.404;0.430;0.060;0.622;1.963; 33.3;;
     434;13.03.23;14:49:58;File: L_230313_144245.PWS
