WT 1.1.1
"t";"Date";"Time";"No.";"ML";"Temp.";"PAR";"F";"Fo'";"Fm'";"~Fo'";"Y(II)";"NPQ";"ETR";"";
3887945426;14.03.23;08:50:26;Type: LC 
3887945427;14.03.23;08:50:27;default_MC.par
3887945427;14.03.23;08:50:27;LightCurve_Marianne.lcp
3887945426;14.03.23;08:50:26;1;3; 0.0;0;Fo: 0.464;Fm: 1.561
3887945426;14.03.23;08:50:26;1;3; 0.0;0;0.464;0.000;1.561;0.464;0.703;0.000;  0.0;;
3887945456;14.03.23;08:50:56;2;3; 0.0;5;0.485;0.000;1.574;0.465;0.692;0.000;  1.5;;
3887945486;14.03.23;08:51:26;3;3; 0.0;8;0.502;0.000;1.591;0.467;0.684;0.000;  2.3;;
3887945516;14.03.23;08:51:56;4;3; 0.0;19;0.776;0.000;1.593;0.467;0.513;0.000;  4.1;;
3887945546;14.03.23;08:52:26;5;3; 0.0;32;0.816;0.000;1.560;0.464;0.477;0.000;  6.4;;
3887945576;14.03.23;08:52:56;6;3; 0.0;58;0.847;0.000;1.531;0.461;0.447;0.020; 10.9;;
3887945606;14.03.23;08:53:26;7;3; 0.0;124;0.919;0.000;1.465;0.455;0.373;0.066; 19.4;;
3887945636;14.03.23;08:53:56;8;3; 0.0;178;0.927;0.000;1.344;0.443;0.310;0.161; 23.2;;
3887945666;14.03.23;08:54:26;9;3; 0.0;245;0.879;0.000;1.168;0.422;0.247;0.336; 25.5;;
3887945696;14.03.23;08:54:56;10;3; 0.0;351;0.797;0.000;0.975;0.394;0.183;0.601; 26.9;;
3887945726;14.03.23;08:55:26;11;3; 0.0;470;0.705;0.000;0.818;0.365;0.138;0.908; 27.3;;
3887945756;14.03.23;08:55:56;12;3; 0.0;600;0.642;0.000;0.717;0.344;0.105;1.177; 26.4;;
3887945786;14.03.23;08:56:26;13;3; 0.0;754;0.602;0.000;0.657;0.329;0.084;1.376; 26.5;;
3887945816;14.03.23;08:56:56;14;3; 0.0;906;0.577;0.000;0.618;0.319;0.066;1.526; 25.2;;
3887945846;14.03.23;08:57:26;15;3; 0.0;1314;0.561;0.000;0.586;0.310;0.043;1.664; 23.5;;
3887945858;14.03.23;08:57:37;File: L_230314_085024.PWS
